        maxIter|        threads|          tasks|        avgTime|          stDev
            100|              1|              1|      188398050|       39095444
            100|              1|             10|      106237420|        1636145
            100|              1|        1440000|      409802390|       56694294
            100|              6|              6|       51984139|         696718
            100|              6|             60|       34409870|        9730360
            100|              6|        1440000|      507741839|      111298307
            100|             12|             12|       35658249|        4373301
            100|             12|            120|       42824270|       29032442
            100|             12|        1440000|      529461540|      115621911
            500|              1|              1|      421177589|        1282580
            500|              1|             10|      425315230|       10193167
            500|              1|        1440000|      871185529|       92209128
            500|              6|              6|      218760180|       24182521
            500|              6|             60|       91145320|        3894090
            500|              6|        1440000|      687405250|      102765894
            500|             12|             12|      132964220|       10351999
            500|             12|            120|       94090930|        6082158
            500|             12|        1440000|      695104969|      133193433
           1000|              1|              1|      821920979|       30308879
           1000|              1|             10|      811640609|        1767360
           1000|              1|        1440000|     1342934459|       51897533
           1000|              6|              6|      418080399|       11772841
           1000|              6|             60|      166409970|        4042052
           1000|              6|        1440000|      752729430|       78273344
           1000|             12|             12|      250025639|        7922251
           1000|             12|            120|      172495899|        5842533
           1000|             12|        1440000|      734932639|       90996499
           5000|              1|              1|     3937732459|       25999177
           5000|              1|             10|     3926613629|       13617512
           5000|              1|        1440000|     4802408079|      111884731
           5000|              6|              6|     2048424439|       35878217
           5000|              6|             60|      794846609|       16726529
           5000|              6|        1440000|     1276189179|       80390644
           5000|             12|             12|     1223009290|       21956734
           5000|             12|            120|      773142840|       15780319
           5000|             12|        1440000|     1325825869|      178412511
          10000|              1|              1|     7794465679|       54123167
          10000|              1|             10|     7840907400|      152894964
          10000|              1|        1440000|     8881566769|       88293141
          10000|              6|              6|     4028424509|       17099260
          10000|              6|             60|     1562924000|       15645510
          10000|              6|        1440000|     2005981430|       78230787
          10000|             12|             12|     2415162250|       27522834
          10000|             12|            120|     1519990030|       16689673
          10000|             12|        1440000|     2002960810|       45488097
